Timestamp,Your Sex?,Your Matric (grade 12) Average/ GPA (in %),What year were you in last year (2023) ?,What faculty does your degree fall under?,Your 2023 academic year average/GPA in % (Ignore if you are 2024 1st year student),Your Accommodation Status Last Year (2023),Monthly Allowance in 2023,Were you on scholarship/bursary in 2023?,Additional amount of studying (in hrs) per week,How often do you go out partying/socialising during the week? ,"On a night out, how many alcoholic drinks do you consume?","How many classes do you miss per week due to alcohol reasons, (i.e: being hungover or too tired?)",How many modules have you failed thus far into your studies?,Are you currently in a romantic relationship?,Do your parents approve alcohol consumption?,How strong is your relationship with your parent/s?
2024/03/08 4:40:34 pm EET,Male,68.0,1st Year,Arts & Social Sciences,54.0,Private accommodation/ stay with family/friends,R 8000+,No,1-3,2,5-8,2,2,No,No,Close
2024/03/08 5:50:07 pm EET,Female,55.0,2nd Year,Economic & Management Sciences,61.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,0,0,0,4+,No,,Fair
2024/03/08 6:43:44 pm EET,Male,80.0,2nd Year,Law,60.0,Non-private accommodation ie. Res,R 4001- R 5000,"Yes (NSFAS, etc...)",1-3,1,5-8,0,3,Yes,Yes,Fair
2024/03/08 6:54:05 pm EET,Male,68.0,1st Year,AgriSciences,,,R 4001- R 5000,No,8+,Only weekends,8+,4+,4+,No,Yes,Very close
2024/03/08 7:10:07 pm EET,Female,65.0,2nd Year,Economic & Management Sciences,80.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,0,4+,8+,0,0,No,Yes,Very close
2024/03/08 9:37:48 pm EET,Male,75.0,3rd Year,Economic & Management Sciences,80.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,Only weekends,1-3,0,0,No,Yes,Very close
2024/03/09 9:53:21 am EET,Male,76.0,1st Year,Economic & Management Sciences,70.0,Private accommodation/ stay with family/friends,,No,1-3,3,8+,2,0,Yes,No,Very close
2024/03/09 12:11:10 pm EET,Male,71.0,1st Year,Economic & Management Sciences,77.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,2,3-5,1,0,No,Yes,Very close
2024/03/09 12:35:28 pm EET,Female,85.0,2nd Year,Engineering,60.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,Only weekends,5-8,0,2,No,Yes,Close
2024/03/09 3:06:37 pm EET,Female,78.0,,Economic & Management Sciences,,,,,8+,1,1-3,0,0,Yes,Yes,Close
2024/03/09 3:12:44 pm EET,Male,70.0,1st Year,Economic & Management Sciences,76.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,Only weekends,1-3,1,0,Yes,No,Very close
2024/03/09 4:31:38 pm EET,Female,74.0,2nd Year,Medicine and Health Services,69.7,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,5-8,3,8+,2,0,Yes,Yes,Very close
2024/03/09 4:41:44 pm EET,Male,86.0,2nd Year,Economic & Management Sciences,85.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,0,1,3-5,0,2,Yes,Yes,Fair
2024/03/09 9:57:06 pm EET,Male,83.0,2nd Year,Economic & Management Sciences,70.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,8+,3,8+,2,1,Yes,Yes,Close
2024/03/10 12:56:37 pm EET,Male,78.0,2nd Year,Economic & Management Sciences,63.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,1,5-8,0,3,No,Yes,Close
2024/03/10 12:58:47 pm EET,Male,83.0,2nd Year,Economic & Management Sciences,63.0,Non-private accommodation ie. Res,R 4001- R 5000,No,1-3,4+,3-5,1,0,No,No,Very close
2024/03/10 1:02:07 pm EET,Male,78.0,3rd Year,Economic & Management Sciences,66.0,Private accommodation/ stay with family/friends,,No,8+,2,0,0,1,No,Yes,Fair
2024/03/10 2:48:41 pm EET,Female,76.0,,Economic & Management Sciences,60.0,,R 7001 - R 8000,No,3-5,3,3-5,2,0,Yes,Yes,Close
2024/03/10 6:14:48 pm EET,Female,86.0,,Engineering,,,R 6001 - R 7000,No,3-5,1,8+,0,0,No,Yes,Very close
2024/03/10 8:03:18 pm EET,Male,78.0,1st Year,Economic & Management Sciences,85.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,2,5-8,1,0,No,Yes,Very close
2024/03/10 8:08:34 pm EET,Male,75.0,3rd Year,Engineering,59.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,Only weekends,3-5,0,2,Yes,No,Close
2024/03/10 11:07:34 pm EET,Female,87.0,2nd Year,Economic & Management Sciences,74.0,Non-private accommodation ie. Res,R 4001- R 5000,No,3-5,2,1-3,0,0,No,No,Fair
2024/03/11 1:03:10 pm EET,Male,77.0,1st Year,Economic & Management Sciences,64.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,0,4+,1-3,0,0,Yes,Yes,Very close
2024/03/11 2:06:31 pm EET,Male,85.0,Postgraduate,AgriSciences,78.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,8+,3,8+,0,0,Yes,Yes,Very close
2024/03/11 2:06:41 pm EET,Male,60.0,2nd Year,Arts & Social Sciences,50.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,2,5-8,0,3,No,Yes,Fair
2024/03/11 2:06:54 pm EET,Female,80.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,Only weekends,1-3,0,0,No,Yes,Very close
2024/03/11 2:06:55 pm EET,Male,77.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,5-8,3,5-8,0,0,No,Yes,Very close
2024/03/11 2:07:05 pm EET,Male,80.0,2nd Year,Science,50.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,1,1-3,0,3,No,No,Close
2024/03/11 2:07:20 pm EET,Female,80.0,3rd Year,Law,75.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,8+,Only weekends,1-3,1,1,No,No,Fair
2024/03/11 2:07:27 pm EET,Female,76.0,,Science,,Private accommodation/ stay with family/friends,,No,3-5,1,3-5,0,0,No,Yes,Very close
2024/03/11 2:07:33 pm EET,Male,75.0,1st Year,Science,63.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,Only weekends,3-5,0,0,No,Yes,Very close
2024/03/11 2:07:35 pm EET,Male,68.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,3-5,3,8+,0,0,Yes,Yes,Very close
2024/03/11 2:07:50 pm EET,Male,76.0,1st Year,Science,56.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,0,0,0,1,No,Yes,Very close
2024/03/11 2:08:39 pm EET,Female,82.0,,,,Private accommodation/ stay with family/friends,,No,5-8,Only weekends,1-3,0,0,Yes,Yes,Very close
2024/03/11 2:09:11 pm EET,Female,83.0,1st Year,Arts & Social Sciences,61.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,3,3-5,0,0,No,Yes,Very close
2024/03/11 2:09:53 pm EET,Male,80.0,1st Year,Arts & Social Sciences,74.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,2,5-8,1,0,Yes,Yes,Very close
2024/03/11 2:09:56 pm EET,Male,78.0,,Science,,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,1-3,4+,3-5,3,0,Yes,Yes,Very close
2024/03/11 2:10:29 pm EET,Female,70.0,2nd Year,Economic & Management Sciences,60.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,Only weekends,3-5,0,0,No,Yes,Close
2024/03/11 2:11:49 pm EET,Male,86.0,2nd Year,Economic & Management Sciences,69.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,2,8+,2,0,Yes,Yes,Very close
2024/03/11 2:13:26 pm EET,Female,72.0,,Education,,Private accommodation/ stay with family/friends,,No,8+,Only weekends,3-5,0,0,Yes,Yes,Very close
2024/03/11 2:14:19 pm EET,Female,88.0,,Law,,,R 4001- R 5000,No,1-3,3,8+,2,0,No,Yes,Close
2024/03/11 2:14:58 pm EET,Female,91.21,,Science,,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,1,1-3,3,0,No,Yes,Very close
2024/03/11 2:16:10 pm EET,Female,85.0,1st Year,Medicine and Health Services,60.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,2,3-5,3,0,Yes,Yes,Very close
2024/03/11 2:17:24 pm EET,Male,79.0,1st Year,Economic & Management Sciences,83.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,8+,3,1-3,0,0,Yes,Yes,Very close
2024/03/11 2:17:42 pm EET,Male,70.0,2nd Year,Economic & Management Sciences,56.0,Private accommodation/ stay with family/friends,R 8000+,No,3-5,4+,8+,2,3,No,Yes,Very close
2024/03/11 2:19:21 pm EET,Male,68.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 6001 - R 7000,"Yes (NSFAS, etc...)",5-8,3,3-5,1,0,No,Yes,Very close
2024/03/11 2:39:34 pm EET,Female,75.0,1st Year,Arts & Social Sciences,65.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,Only weekends,3-5,0,2,Yes,Yes,Very close
2024/03/11 2:49:54 pm EET,Female,78.0,2nd Year,Medicine and Health Services,79.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,1-3,1,1-3,0,0,Yes,Yes,Very close
2024/03/11 2:51:31 pm EET,Female,76.0,,Arts & Social Sciences,,,R 6001 - R 7000,,3-5,1,0,0,0,Yes,Yes,Very close
2024/03/11 2:56:07 pm EET,Male,76.0,2nd Year,Economic & Management Sciences,64.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,1,5-8,1,1,No,Yes,Very close
2024/03/11 2:59:36 pm EET,Male,76.0,2nd Year,Economic & Management Sciences,57.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,1,1-3,0,0,No,Yes,Very close
2024/03/11 3:00:04 pm EET,Female,85.0,1st Year,Economic & Management Sciences,58.0,Private accommodation/ stay with family/friends,R 8000+,No,1-3,3,3-5,2,0,Yes,Yes,Close
2024/03/11 3:08:15 pm EET,Male,96.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,Only weekends,0,0,0,No,No,Very close
2024/03/11 3:12:20 pm EET,Female,86.0,1st Year,Science,71.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,1,0,0,0,Yes,Yes,Very close
2024/03/11 3:52:53 pm EET,Male,78.0,3rd Year,Law,66.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,0,1,1-3,1,0,Yes,Yes,Close
2024/03/11 3:53:40 pm EET,Male,75.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,1-3,2,8+,4+,0,Yes,Yes,Very close
2024/03/11 3:55:29 pm EET,Male,74.0,,Science,,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,0,0,0,0,No,Yes,Very close
2024/03/11 4:11:36 pm EET,Male,75.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,3-5,1,1-3,0,0,Yes,Yes,Fair
2024/03/11 4:16:20 pm EET,Male,64.0,1st Year,Economic & Management Sciences,70.0,Private accommodation/ stay with family/friends,R 8000+,No,0,4+,8+,0,1,Yes,Yes,Very close
2024/03/11 4:16:58 pm EET,Female,78.0,1st Year,,51.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,2,5-8,1,0,No,Yes,Close
2024/03/11 4:26:13 pm EET,Male,76.0,1st Year,Science,58.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,2,8+,1,1,No,Yes,Close
2024/03/11 4:40:28 pm EET,Male,75.0,2nd Year,Economic & Management Sciences,80.0,Private accommodation/ stay with family/friends,R 8000+,No,0,4+,8+,4+,0,No,No,Very close
2024/03/11 4:41:08 pm EET,Female,78.0,2nd Year,Medicine and Health Services,74.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,Only weekends,1-3,0,0,No,Yes,Very close
2024/03/11 5:11:29 pm EET,Male,86.0,1st Year,Economic & Management Sciences,70.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,2,3-5,2,0,Yes,Yes,Fair
2024/03/11 5:45:20 pm EET,Female,74.0,2nd Year,Economic & Management Sciences,60.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,5-8,Only weekends,1-3,0,3,No,No,Close
2024/03/11 6:06:08 pm EET,Female,,,Engineering,,Private accommodation/ stay with family/friends,,No,3-5,Only weekends,1-3,0,0,No,Yes,Very close
2024/03/11 7:41:43 pm EET,Male,85.0,,Arts & Social Sciences,,,R 5001 - R 6000,No,3-5,Only weekends,3-5,0,0,No,Yes,Very close
2024/03/12 11:05:33 am EET,Female,74.0,,Science,,Private accommodation/ stay with family/friends,,No,3-5,3,1-3,0,0,No,Yes,Close
2024/03/12 3:26:14 pm EET,Female,73.0,2nd Year,Economic & Management Sciences,58.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,"Yes (NSFAS, etc...)",5-8,1,8+,0,0,Yes,Yes,Very close
2024/03/13 10:32:19 pm EET,Female,86.0,1st Year,,,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,2,3-5,1,0,No,Yes,Very close
2024/03/13 10:32:27 pm EET,Male,85.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,4+,5-8,4+,0,No,Yes,Close
2024/03/16 10:30:36 pm EET,Female,80.0,1st Year,,63.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,Only weekends,3-5,1,0,No,No,Close
